City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
347,sondrio,46.169,9.8692,47.77,98,97,5.26,IT,1670269447
348,esperance,-33.8667,121.9,60.19,83,100,3.65,AU,1670269447
349,olinda,-8.0089,-34.8553,78.53,78,75,3.44,BR,1670269447
350,parabel,58.6978,81.4825,-1.32,96,100,5.97,RU,1670269448
351,tombouctou,20.0,-3.0,78.44,16,62,1.9,ML,1670269448
352,darab,28.7519,54.5444,58.41,58,10,1.74,IR,1670269408
353,proletariy,58.4342,31.7046,18.77,89,96,8.63,RU,1670269449
354,le havre,49.4938,0.1077,40.12,93,40,4.61,FR,1670269449
355,manokwari,-0.8667,134.0833,78.57,80,100,4.36,ID,1670269449
356,yangzhou,32.3972,119.4358,33.85,92,0,2.01,CN,1670269450
357,davila,18.4726,120.5763,78.46,84,90,23.35,PH,1670269450
358,zhigansk,66.7697,123.3711,-19.41,98,100,1.32,RU,1670269400
359,hattiesburg,31.3271,-89.2903,72.82,80,100,7.0,US,1670269451
360,padang,-0.9492,100.3543,76.35,89,100,4.14,ID,1670269451
361,urengoy,65.9667,78.3667,15.13,85,51,14.12,RU,1670269451
362,east london,-33.0153,27.9116,61.41,83,4,9.71,ZA,1670269429
